page	ayah	ar	en	bn	surah	root
3	7	غِشَٰوَةٞۖ	(is) a veil	আবরণ (দিয়েছেন)	2	غشي
3	7	وَلَهُمۡ	And for them	এবং তাদেরজন্যে (রয়েছে)	2	ل
3	7	عَذَابٌ	(is) a punishment	শাস্তি	2	عذب
3	7	عَظِيمٞ	great	কঠিন	2	عظم
3	8	وَمِنَ	And of	এবং মধ্যহতে	2	من
3	8	ٱلنَّاسِ	the people	মানুষের (এমনও আছে)	2	نوس
3	8	مَن	(are some) who	যারা	2	من
3	8	يَقُولُ	say	বলে	2	قول
3	8	ءَامَنَّا	We believed	''আমরা ঈমান এনেছি	2	امن
3	8	بِٱللَّهِ	in Allah	আল্লাহর উপর	2	اله
3	8	وَبِٱلۡيَوۡمِ	and in the Day	ও দিনের উপর	2	يوم
3	8	ٱلۡأٓخِرِ	[the] Last	আখিরাতের''	2	اخر
3	8	وَمَا	but not	অথচ না	2	ما
3	8	هُم	they	তারা	2	هم
3	8	بِمُؤۡمِنِينَ	(are) believers (at all)	মুমিন	2	امن
3	9	يُخَٰدِعُونَ	They seek to deceive	তারা প্রতারিত করতে চায়	2	خدع
3	9	ٱللَّهَ	Allah	আল্লাহকে	2	اله
3	9	وَٱلَّذِينَ	and those who	ও (তাদেরকে) যারা	2	اللذ
3	9	ءَامَنُواْ	believe[d]	ঈমান এনেছে	2	امن
3	9	وَمَا	and not	কিন্তু না	2	ما
3	9	يَخۡدَعُونَ	they deceive	তারা প্রতারিত করে	2	خدع
3	9	إِلَّآ	except	ছাড়া	2	اللا
3	9	أَنفُسَهُمۡ	themselves	তাদের নিজেদেরকে	2	نفس
3	9	وَمَا	and not	এবং না	2	ما
3	9	يَشۡعُرُونَ	they realize (it)	তারা অনুভব করে	2	شعر
3	10	فِي	In	মধ্যে আছে	2	في
3	10	قُلُوبِهِم	their hearts	তাদের অন্তর সমূহের	2	قلب
3	10	مَّرَضٞ	(is) a disease	রোগ (আছে)	2	مرض
3	10	فَزَادَهُمُ	so has increased them	বৃদ্ধি করলেন তাই (আরও) তাদেরকে	2	زيد
3	10	ٱللَّهُ	Allah	আল্লাহ্‌	2	اله
3	10	مَرَضٗاۖ	(in) disease	(তাদের) রোগ	2	مرض
3	10	وَلَهُمۡ	and for them	এবং তাদের জন্য (রয়েছে)	2	ل
3	10	عَذَابٌ	(is) a punishment	শাস্তি	2	عذب
3	10	أَلِيمُۢ	painful	কষ্টদায়ক	2	الم
3	10	بِمَا	because	এজন্যে যে	2	بما
3	10	كَانُواْ	they used to	তারা ছিল	2	كون
3	10	يَكۡذِبُونَ	[they] lie	তারা মিথ্যা বলতো	2	كذب
3	11	وَإِذَا	And when	এবং যখন	2	اذا
3	11	قِيلَ	it is said	বলা হয়	2	قول
3	11	لَهُمۡ	to them	তাদের উদ্দেশ্যে	2	ل
3	11	لَا	(Do) not	''না	2	لا
3	11	تُفۡسِدُواْ	spread corruption	বিপর্যয় সৃষ্টি করো	2	فسد
3	11	فِي	in	মধ্যে	2	في
3	11	ٱلۡأَرۡضِ	the earth	পৃথিবীর''	2	ارض
3	11	قَالُوٓاْ	they say	তারা বলে	2	قول
3	11	إِنَّمَا	Only	''মূলতঃ	2	اننم
3	11	نَحۡنُ	we	আমরা	2	نحن
3	11	مُصۡلِحُونَ	(are) reformers	সংশোধনকারী''	2	صلح
3	12	أَلَآ	Beware	সাবধান	2	لا
3	12	إِنَّهُمۡ	indeed they	তারা নিশ্চয়ই	2	انن
3	12	هُمُ	themselves	তারাই	2	هم
3	12	ٱلۡمُفۡسِدُونَ	(are) the ones who spread corruption	বিপর্যয় সৃষ্টিকারী	2	فسد
3	12	وَلَٰكِن	[and] but	কিন্তু	2	لكن
3	12	لَّا	not	না	2	لا
3	12	يَشۡعُرُونَ	they realize (it)	তারা অনুভব করে	2	شعر
3	13	وَإِذَا	And when	এবং যখন	2	اذا
3	13	قِيلَ	it is said	বলা হয়	2	قول
3	13	لَهُمۡ	to them	তাদের উদ্দেশ্যে	2	ل
3	13	ءَامِنُواْ	Believe	''তোমরা ঈমান আনো	2	امن
3	13	كَمَآ	as	যেমন	2	كما
3	13	ءَامَنَ	believed	ঈমান এনেছে	2	امن
3	13	ٱلنَّاسُ	the people	মানুষ''	2	نوس
3	13	قَالُوٓاْ	they say	তারা বলে	2	قول
3	13	أَنُؤۡمِنُ	Should we believe	''আমরা কি ঈমান আনবো	2	امن
3	13	كَمَآ	as	যেমন	2	كما
3	13	ءَامَنَ	believed	ঈমান এনেছে	2	امن
3	13	ٱلسُّفَهَآءُۗ	the fools?	বোকারা''	2	سفه
3	13	أَلَآ	Beware	সাবধান	2	لا
3	13	إِنَّهُمۡ	certainly they	নিশ্চয়ই তারা	2	انن
3	13	هُمُ	themselves	তারাই	2	هم
3	13	ٱلسُّفَهَآءُ	(are) the fools	বোকা	2	سفه
3	13	وَلَٰكِن	[and] but	কিন্তু	2	لكن
3	13	لَّا	not	না	2	لا
3	13	يَعۡلَمُونَ	they know	তারা জানে	2	علم
3	14	وَإِذَا	And when	এবং যখন	2	اذا
3	14	لَقُواْ	they meet	তারা মিলিত হয়	2	لقي
3	14	ٱلَّذِينَ	those who	(তাদের সাথে) যারা	2	اللذ
3	14	ءَامَنُواْ	believe[d]	ঈমান এনেছে	2	امن
3	14	قَالُوٓاْ	they say	তারা বলে	2	قول
3	14	ءَامَنَّا	We believe[d]	''আমরা ঈমান এনেছি''	2	امن
3	14	وَإِذَا	But when	এবং যখন	2	اذا
3	14	خَلَوۡاْ	they are alone	গোপনে মিলে	2	خلو
3	14	إِلَىٰ	with	সাথে	2	الي
3	14	شَيَٰطِينِهِمۡ	their evil ones	তাদের শয়তান (বন্ধুদের)	2	شطن
3	14	قَالُوٓاْ	they say	তারা বলে	2	قول
3	14	إِنَّا	Indeed we	''নিশ্চয়ই আমরা	2	انن
3	14	مَعَكُمۡ	(are) with you	তোমাদের সাথে	2	مع
3	14	إِنَّمَا	only	মূলতঃ	2	اننم
3	14	نَحۡنُ	we	আমরা	2	نحن
3	14	مُسۡتَهۡزِءُونَ	(are) mockers	উপহাসকারী (মু'মিনদের সাথে)''	2	هزا
3	15	ٱللَّهُ	Allah	আল্লাহ্‌	2	اله
3	15	يَسۡتَهۡزِئُ	mocks	উপহাস করেন	2	هزا
3	15	بِهِمۡ	at them	তাদের সাথে	2	ب
3	15	وَيَمُدُّهُمۡ	and prolongs them	এবং তাদের ঢিলদেন	2	مدد
3	15	فِي	in	মধ্যে	2	في
3	15	طُغۡيَٰنِهِمۡ	their transgression	তাদের অবাধ্যতার	2	طغو
3	15	يَعۡمَهُونَ	they wander blindly	তারা উদভ্রান্ত হয়ে ফিরে	2	عمه
3	16	أُوْلَٰٓئِكَ	Those	তারাই (ঐসব লোক)	2	اولا
3	16	ٱلَّذِينَ	(are) the ones who	যারা	2	اللذ
3	16	ٱشۡتَرَوُاْ	bought	কিনেছে	2	شري
3	16	ٱلضَّلَٰلَةَ	[the] astraying	পথভ্রশ্ততা	2	ضلل
3	16	بِٱلۡهُدَىٰ	for [the] guidance	সৎপথের বিনিময়	2	هدي
3	16	فَمَا	So not	সুতরাং না	2	ما
3	16	رَبِحَت	profited	লাভজনক হয়	2	ربح
3	16	تِّجَٰرَتُهُمۡ	their commerce	তাদের ব্যবসা	2	تجر
3	16	وَمَا	and not	এবং না	2	ما
3	16	كَانُواْ	were they	তারা ছিল	2	كون
3	16	مُهۡتَدِينَ	guidedones	সৎপথে পরিচালিত	2	هدي
4	17	مَثَلُهُمۡ	Their example	তাদের উপমা	2	مثل
4	17	كَمَثَلِ	(is) like (the) example	উপমা যেমন (এক ব্যক্তির)	2	مثل
4	17	ٱلَّذِي	(of) the one who	যে	2	اللذ
4	17	ٱسۡتَوۡقَدَ	kindled	জ্বালালো	2	وقد
4	17	نَارٗا	a fire	আগুন	2	نور
4	17	فَلَمَّآ	then when	অতঃপর যখন	2	لمما
4	17	أَضَآءَتۡ	it illuminated	আলোকিত করলো	2	ضوا
4	17	مَا	what	যা	2	ما
4	17	حَوۡلَهُۥ	(was) around him	তার চারপাশে	2	حول
4	17	ذَهَبَ	took away	নিলেন	2	ذهب
4	17	ٱللَّهُ	Allah	আল্লাহ্‌	2	اله
4	17	بِنُورِهِمۡ	their light	তাদের আলো নিয়ে	2	نور
4	17	وَتَرَكَهُمۡ	and left them	এবং তাদের ছেড়ে দিলেন	2	ترك
4	17	فِي	in	মধ্যে	2	في
4	17	ظُلُمَٰتٖ	darkness[es]	অন্ধকার সমূহের	2	ظلم
4	17	لَّا	(so) not	না	2	لا
4	17	يُبۡصِرُونَ	(do) they see	তারা দেখতে পায়	2	بصر
4	18	صُمُّۢ	Deaf	বধির	2	صمم
4	18	بُكۡمٌ	dumb	বোবা	2	بكم
4	18	عُمۡيٞ	blind	অন্ধ	2	عمي
4	18	فَهُمۡ	so they	সুতরাং তারা	2	هم
4	18	لَا	not	না	2	لا
4	18	يَرۡجِعُونَ	[they] will not return	প্রত্যাবর্তন করবে	2	رجع
4	19	أَوۡ	Or	অথবা	2	او
4	19	كَصَيِّبٖ	like a rainstorm	মতো বৃষ্টিপাতের	2	صوب
4	19	مِّنَ	from	থেকে	2	من
4	19	ٱلسَّمَآءِ	the sky	আকাশ	2	سمو
4	19	فِيهِ	in it (are)	তার মধ্যে (আছে)	2	في
4	19	ظُلُمَٰتٞ	darkness[es]	অন্ধকার	2	ظلم
4	19	وَرَعۡدٞ	and thunder	এবং গর্জন	2	رعد
4	19	وَبَرۡقٞ	and lightning	ও বিদ্যুৎচমক	2	برق
4	19	يَجۡعَلُونَ	They put	তারা রাখে	2	جعل
4	19	أَصَٰبِعَهُمۡ	their fingers	তাদের আঙ্গুলগুলোকে	2	صبع
4	19	فِيٓ	in	মধ্যে	2	في
4	19	ءَاذَانِهِم	their ears	তাদের কানগুলোর	2	اذن
4	19	مِّنَ	from	কারনে	2	من
4	19	ٱلصَّوَٰعِقِ	the thunderclaps	বজ্রধ্বনির	2	صعق
4	19	حَذَرَ	(in) fear (of)	ভয়ে	2	حذر
4	19	ٱلۡمَوۡتِۚ	[the] death	মৃত্যুর	2	موت
4	19	وَٱللَّهُ	And Allah	অথচ আল্লাহ্‌	2	اله
4	19	مُحِيطُۢ	(is) [the One Who] encompasses	পরিবেষ্টনকারী	2	حوط
4	19	بِٱلۡكَٰفِرِينَ	the disbelievers	কাফিরদের	2	كفر
4	20	يَكَادُ	Almost	প্রায়	2	كود
4	20	ٱلۡبَرۡقُ	the lightning	বিদ্যুৎচমক	2	برق
4	20	يَخۡطَفُ	snatches away	কেড়ে নেয়	2	خطف
4	20	أَبۡصَٰرَهُمۡۖ	their sight	তাদের দৃষ্টিসমূহের	2	بصر
4	20	كُلَّمَآ	Whenever	যখনই	2	كلل
4	20	أَضَآءَ	it flashes	আলোকিত হয়	2	ضوا
4	20	لَهُم	for them	তাদের জন্য	2	ل
4	20	مَّشَوۡاْ	they walk	তারা চলে	2	مشي
4	20	فِيهِ	in it	তারমধ্যে	2	في
4	20	وَإِذَآ	and when	এবং যখন	2	اذا
4	20	أَظۡلَمَ	it darkens	অন্ধকার হয়	2	ظلم
4	20	عَلَيۡهِمۡ	on them	তাদের উপর	2	علي
4	20	قَامُواْۚ	they stand (still)	তারা দাড়িয়ে যায়	2	قوم
4	20	وَلَوۡ	And if	আর যদি	2	لو
4	20	شَآءَ	had willed	চান	2	شيا
4	20	ٱللَّهُ	Allah	আল্লাহ্‌	2	اله
4	20	لَذَهَبَ	He would certainly have taken away	অবশ্যই নিয়ে নিবেন	2	ذهب
4	20	بِسَمۡعِهِمۡ	their hearing	তাদের শ্রবণশক্তি	2	سمع
4	20	وَأَبۡصَٰرِهِمۡۚ	and their sight	এবং তাদের দর্শনশক্তি	2	بصر
4	20	إِنَّ	Indeed	নিশ্চয়ই	2	انن
4	20	ٱللَّهَ	Allah	আল্লাহ্‌	2	اله
4	20	عَلَىٰ	(is) on	উপর	2	علي
4	20	كُلِّ	every	সব	2	كلل
4	20	شَيۡءٖ	thing	কিছুর	2	شيا
4	20	قَدِيرٞ	AllPowerful	সর্বশক্তিমান	2	قدر
4	21	يَٰٓأَيُّهَا	O	হে	2	ايي
4	21	ٱلنَّاسُ	mankind!	মানুষ	2	نوس
4	21	ٱعۡبُدُواْ	worship	তোমরা ইবাদত করো	2	عبد
4	21	رَبَّكُمُ	your Lord	তোমাদের রবের,	2	ربب
4	21	ٱلَّذِي	the One Who	যিনি	2	اللذ
4	21	خَلَقَكُمۡ	created you	তোমাদের সৃষ্টি করেছেন	2	خلق
4	21	وَٱلَّذِينَ	and those	এবং যারা (ছিল)	2	اللذ
4	21	مِن	from	থেকে	2	من
4	21	قَبۡلِكُمۡ	before you	তোমাদের পূর্ব (তাদেরও স্রষ্টা)	2	قبل
4	21	لَعَلَّكُمۡ	so that you may	তোমরা যেন	2	لعلل
4	21	تَتَّقُونَ	become righteous	বেঁচে চলতে পারো (পাপ হতে)	2	وقي
4	22	ٱلَّذِي	The One Who	যিনি	2	اللذ
4	22	جَعَلَ	made	করেছেন	2	جعل
4	22	لَكُمُ	for you	তোমাদের জন্য	2	ل
4	22	ٱلۡأَرۡضَ	the earth	পৃথিবীকে	2	ارض
4	22	فِرَٰشٗا	a resting place	শয্যা	2	فرش
4	22	وَٱلسَّمَآءَ	and the sky	ও আকাশকে	2	سمو
4	22	بِنَآءٗ	a canopy	ছাদ স্বরূপ,	2	بنا
4	22	وَأَنزَلَ	and sent down	এবং বর্ষণ করেছেন	2	نزل
4	22	مِنَ	from	থেকে	2	من
4	22	ٱلسَّمَآءِ	the sky	আকাশ	2	سمو
4	22	مَآءٗ	water	পানি,	2	موه
4	22	فَأَخۡرَجَ	then brought forth	এরপর বের করেছেন	2	خرج
4	22	بِهِۦ	therewith	তা দ্বারা	2	ب
4	22	مِنَ	[of]	কোনো	2	من
4	22	ٱلثَّمَرَٰتِ	the fruits	(নানা ধরণের) ফলমূল	2	ثمر
4	22	رِزۡقٗا	(as) provision	রিযক হিসাবে	2	رزق
4	22	لَّكُمۡۖ	for you	তোমাদের জন্য	2	ل
4	22	فَلَا	So (do) not	অতএব না	2	لا
4	22	تَجۡعَلُواْ	set up	দাড় করিও	2	جعل
4	22	لِلَّهِ	to Allah	আল্লাহর সাথে	2	اله
4	22	أَندَادٗا	rivals	সমতুল্য (অন্য কাউকে)	2	ندد
4	22	وَأَنتُمۡ	while you	অথচ তোমরা	2	انتم
4	22	تَعۡلَمُونَ	[you] know	জানো	2	علم
4	23	وَإِن	And if	এবং যদি	2	ان
4	23	كُنتُمۡ	you are	তোমরা থাক	2	كون
4	23	فِي	in	মধ্যে	2	في
4	23	رَيۡبٖ	doubt	সন্দেহের	2	ريب
4	23	مِّمَّا	about what	তা হতে যা	2	مما
4	23	نَزَّلۡنَا	We have revealed	আমরা অবতীর্ণ করেছি	2	نزل
4	23	عَلَىٰ	to	উপর	2	علي
4	23	عَبۡدِنَا	Our slave	আমাদের দাসের,	2	عبد
4	23	فَأۡتُواْ	then produce	তবে তোমরা আনো	2	اتي
4	23	بِسُورَةٖ	a chapter	একটি সূরা	2	سور
4	23	مِّن	[of]	মধ্য হতে	2	من
4	23	مِّثۡلِهِۦ	like it	তার সদৃশ	2	مثل
4	23	وَٱدۡعُواْ	and call	এবং তোমরা ডাকো	2	دعو
4	23	شُهَدَآءَكُم	your witnesses	তোমাদের সাক্ষীদেরকে	2	شهد
4	23	مِّن	from	দিয়ে	2	من
4	23	دُونِ	other than	বাদ	2	دون
4	23	ٱللَّهِ	Allah	আল্লাহকে	2	اله
4	23	إِن	if	যদি	2	ان
4	23	كُنتُمۡ	you are	তোমরা হও	2	كون
4	23	صَٰدِقِينَ	truthful	সত্যবাদী	2	صدق
4	24	فَإِن	But if	কিন্তু যদি	2	ان
4	24	لَّمۡ	not	না	2	لم
4	24	تَفۡعَلُواْ	you do	তোমরা করো	2	فعل
4	24	وَلَن	and never	এবং কখনও না	2	لن
4	24	تَفۡعَلُواْ	will you do	তোমরা করতে পারবে	2	فعل
4	24	فَٱتَّقُواْ	then fear	তোমরা ভয় করো	2	وقي
4	24	ٱلنَّارَ	the Fire	আগুনের	2	نور
4	24	ٱلَّتِي	whose	যা (এমন যে)	2	اللت
4	24	وَقُودُهَا	[its] fuel	তার ইন্ধন (হবে)	2	وقد
4	24	ٱلنَّاسُ	(is) [the] men	মানুষ	2	نوس
4	24	وَٱلۡحِجَارَةُۖ	and [the] stones	ও পাথরসমূহ	2	حجر
4	24	أُعِدَّتۡ	prepared	যা প্রস্তুুত করা হয়েছে	2	عدد
4	24	لِلۡكَٰفِرِينَ	for the disbelievers	কাফিরদের জন্য	2	كفر
5	25	وَبَشِّرِ	And give good news	এবং সুসংবাদ দাও	2	بشر
5	25	ٱلَّذِينَ	(to) those who	(তাদেরকে) যারা	2	اللذ
5	25	ءَامَنُواْ	believe	ঈমান এনেছে	2	امن
5	25	وَعَمِلُواْ	and do	ও কাজ করেছে	2	عمل
5	25	ٱلصَّٰلِحَٰتِ	[the] righteous deeds	সৎ	2	صلح
5	25	أَنَّ	that	যে	2	انن
5	25	لَهُمۡ	for them	তাদের জন্যে (রয়েছে)	2	ل
5	25	جَنَّٰتٖ	(will be) Gardens	জান্নাত	2	جنن
5	25	تَجۡرِي	flow	প্রবাহিত হয়	2	جري
5	25	مِن	[from]	দিয়ে	2	من
5	25	تَحۡتِهَا	under them	তার নিচ	2	تحت
5	25	ٱلۡأَنۡهَٰرُۖ	the rivers	ঝর্ণাধারা	2	نهر
5	25	كُلَّمَا	Every time	যখনই	2	كلل
5	25	رُزِقُواْ	they are provided	তাদের রিযক দেয়া হবে	2	رزق
5	25	مِنۡهَا	therefrom	তা থেকে	2	من
5	25	مِن	of	কোনো	2	من
5	25	ثَمَرَةٖ	fruit	ফলমূল	2	ثمر
5	25	رِّزۡقٗا	(as) provision	রিযক হিসেবে	2	رزق
5	25	قَالُواْ	they (will) say	তারা বলবে	2	قول
5	25	هَٰذَا	This (is)	''এটা	2	هاذ
5	25	ٱلَّذِي	the one which	(তাই) যা	2	اللذ
5	25	رُزِقۡنَا	we were provided	আমাদের রিযক দেওয়া হয়েছিল	2	رزق
5	25	مِن	from	থেকে	2	من
5	25	قَبۡلُۖ	before	পূর্ব''	2	قبل
5	25	وَأُتُواْ	And they will be given	এবং তাদেরকে যা দেওয়া হয়েছিল	2	اتي
5	25	بِهِۦ	therefrom	(তা থেকে)	2	ب
5	25	مُتَشَٰبِهٗاۖ	(things) in resemblance	সদৃশ হবে (পরস্পরে)	2	شبه
5	25	وَلَهُمۡ	And for them	এবং তাদের জন্যে	2	ل
5	25	فِيهَآ	therein	তারমধ্যে (থাকবে)	2	في
5	25	أَزۡوَٰجٞ	spouses	স্ত্রীরা	2	زوج
5	25	مُّطَهَّرَةٞۖ	purified	পবিত্র	2	طهر
5	25	وَهُمۡ	and they	এবং তারা	2	هم
5	25	فِيهَا	therein	তার মধ্যে	2	في
5	25	خَٰلِدُونَ	(will) abide forever	চিরস্থায়ী হবে	2	خلد
5	26	۞إِنَّ	Indeed	নিশ্চয়ই	2	انن
5	26	ٱللَّهَ	Allah	আল্লাহ	2	اله
5	26	لَا	(is) not	না	2	لا
5	26	يَسۡتَحۡيِۦٓ	ashamed	লজ্জাবোধ করেন	2	حيي
5	26	أَن	to	যে	2	انن
5	26	يَضۡرِبَ	set forth	তিনি পেশ করবেন	2	ضرب
5	26	مَثَلٗا	an example	দৃষ্টান্ত	2	مثل
5	26	مَّا	(like) even	যা	2	ما
5	26	بَعُوضَةٗ	(of) a mosquito	মশা	2	بعض
5	26	فَمَا	and (even) something	কিংবা যা	2	ما
5	26	فَوۡقَهَاۚ	above it	তারচেয়ে ক্ষুদ্রতর	2	فوق
5	26	فَأَمَّا	Then as for	তাই	2	امما
5	26	ٱلَّذِينَ	those who	যারা	2	اللذ
5	26	ءَامَنُواْ	believed	ঈমান এনেছে	2	امن
5	26	فَيَعۡلَمُونَ	[thus] they will know	জানতে পারে তখন	2	علم
5	26	أَنَّهُ	that it	তা নিশ্চয়ই	2	انن
5	26	ٱلۡحَقُّ	(is) the truth	সত্য	2	حقق
5	26	مِن	from	পক্ষ থেকে	2	من
5	26	رَّبِّهِمۡۖ	their Lord	তাদের রবের	2	ربب
5	26	وَأَمَّا	And as for	পক্ষান্তরে	2	امما
5	26	ٱلَّذِينَ	those who	যারা	2	اللذ
5	26	كَفَرُواْ	disbelieved	অবিশ্বাস করেছে	2	كفر
5	26	فَيَقُولُونَ	[thus] they will say	তারা বলে তখন	2	قول
5	26	مَاذَآ	what	কি	2	ماذا
5	26	أَرَادَ	(did) intend	চেয়েছেন	2	رود
5	26	ٱللَّهُ	Allah	আল্লাহ	2	اله
5	26	بِهَٰذَا	by this	এই দিয়ে	2	هاذ
5	26	مَثَلٗاۘ	example?	উপমা	2	مثل
5	26	يُضِلُّ	He lets go astray	তিনি বিভ্রান্ত করেন	2	ضلل
5	26	بِهِۦ	by it	তা দিয়ে	2	ب
5	26	كَثِيرٗا	many	অনেককে	2	كثر
5	26	وَيَهۡدِي	and He guides	এবং পথ প্রদর্শন করেন	2	هدي
5	26	بِهِۦ	by it	তা দিয়ে	2	ب
5	26	كَثِيرٗاۚ	many	অনেককে,	2	كثر
5	26	وَمَا	And not	এবং না	2	ما
5	26	يُضِلُّ	He lets go astray	বিভ্রান্ত করেন	2	ضلل
